what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202792489
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202794119
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202798117
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202800317
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202803299
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1229202804085
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1229202804087
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.close,1229202804103
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1229202806916
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202819068
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202821236
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202822645
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202829544
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202830838
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202843866
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229202844567
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229203037825
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1229203038924
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1229203038958
started,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1229203038997
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1229203039158
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1229203039455
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1229203039518
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1229203039526
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1229203039526
